immigSelf,redistSelf,survey,immigEcon_mymedian,immigCultural_mymedian,immigSelf_mymedian,immigCon_mymedian,immigLab_mymedian,immigLD_mymedian,immigSNP_mymedian,immigPC_mymedian,immigUKIP_mymedian,immigGreen_mymedian,immigrantsWelfareState_mymedian,immigExpDV_mymedian,immigManipCheck_mymedian,immigManipCheck2_mymedian,immigrationLevel_mymedian,immigContributeTake_mymedian,immigTIG_mymedian,immigbrexit_mymedian,immigBrexit_mymedian,redistSelf_mymedian,redistCon_mymedian,redistLab_mymedian,redistLD_mymedian,redistUKIP_mymedian,redistSNP_mymedian,redistPC_mymedian,redistGreen_mymedian,redistTIG_mymedian,redistBrexit_mymedian,immigLefty,immigDistPC,redistDistPC,distPC,immigDistCon,redistDistCon,distCon,immigDistGreen,redistDistGreen,distGreen,immigDistSNP,redistDistSNP,distSNP,immigDistUKIP,redistDistUKIP,distUKIP,immigDistLD,redistDistLD,distLD,immigDistLab,redistDistLab,distLab,immigDistBrexit,redistDistBrexit,distBrexit,immigDistTIG,redistDistTIG,distTIG
5.0,2.0,BES2015_W10_v24.0.sav,6.0,6.0,5.0,2.0,5.0,5.0,6.0,5.0,0.0,5.0,2.0,,,,,,,,,2.0,8.0,3.0,4.0,9.0,4.0,3.0,2.0,,,5.0,0.0,-1.0,1.0,3.0,-6.0,6.708203932499369,0.0,0.0,0.0,-1.0,-2.0,2.23606797749979,5.0,-7.0,8.602325267042627,0.0,-2.0,2.0,0.0,-1.0,1.0,,,,,,
4.0,1.0,BES2015_W10_v24.0.sav,5.0,5.0,4.0,3.0,6.0,7.0,7.0,6.0,0.0,7.0,3.0,,,,,,,,,1.0,7.0,2.0,3.0,7.0,2.0,2.5,3.0,,,6.0,-2.0,-1.5,2.5,1.0,-6.0,6.082762530298219,-3.0,-2.0,3.605551275463989,-3.0,-1.0,3.1622776601683795,4.0,-6.0,7.211102550927978,-3.0,-2.0,3.605551275463989,-2.0,-1.0,2.23606797749979,,,,,,
4.0,2.0,BES2015_W10_v24.0.sav,5.0,5.0,4.0,4.0,6.0,6.0,7.0,4.0,0.0,6.0,3.0,,,,,,,,,2.0,7.0,3.0,4.0,7.0,3.0,4.0,2.0,,,6.0,0.0,-2.0,2.0,0.0,-5.0,5.0,-2.0,0.0,2.0,-3.0,-1.0,3.1622776601683795,4.0,-5.0,6.4031242374328485,-2.0,-2.0,2.8284271247461903,-2.0,-1.0,2.23606797749979,,,,,,
6.0,5.0,BES2015_W10_v24.0.sav,5.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,0.0,6.0,2.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2.0,3.0,BES2015_W10_v24.0.sav,4.0,3.0,2.0,4.0,7.0,7.0,8.0,6.5,0.0,7.0,4.0,,,,,,,,,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,,,8.0,-4.5,0.0,4.5,-2.0,-2.0,2.8284271247461903,-5.0,0.0,5.0,-6.0,-1.0,6.082762530298219,2.0,-2.0,2.8284271247461903,-5.0,-1.0,5.0990195135927845,-5.0,0.0,5.0,,,,,,
5.0,7.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,4.0,6.0,6.0,7.0,5.0,0.0,6.0,2.0,,,,,,,,,7.0,7.0,4.0,5.0,6.0,4.0,5.0,4.0,,,5.0,0.0,2.0,2.0,1.0,0.0,1.0,-1.0,3.0,3.1622776601683795,-2.0,3.0,3.605551275463989,5.0,1.0,5.0990195135927845,-1.0,2.0,2.23606797749979,-1.0,3.0,3.1622776601683795,,,,,,
1.0,10.0,BES2015_W10_v24.0.sav,3.0,2.0,1.0,3.0,8.0,9.0,10.0,7.0,0.0,8.0,4.0,,,,,,,,,10.0,8.0,2.0,4.0,8.5,0.0,1.5,4.0,,,9.0,-6.0,8.5,10.404326023342406,-2.0,2.0,2.8284271247461903,-7.0,6.0,9.219544457292887,-9.0,10.0,13.45362404707371,1.0,1.5,1.8027756377319946,-8.0,6.0,10.0,-7.0,8.0,10.63014581273465,,,,,,
8.0,0.0,BES2015_W10_v24.0.sav,7.0,7.0,8.0,2.0,6.0,7.0,8.0,7.0,0.0,8.0,1.0,,,,,,,,,0.0,10.0,2.0,4.0,10.0,2.0,2.0,1.0,,,2.0,1.0,-2.0,2.23606797749979,6.0,-10.0,11.661903789690601,0.0,-1.0,1.0,0.0,-2.0,2.0,8.0,-10.0,12.806248474865697,1.0,-4.0,4.123105625617661,2.0,-2.0,2.8284271247461903,,,,,,
6.0,1.0,BES2015_W10_v24.0.sav,6.0,6.0,6.0,2.0,6.0,6.0,7.0,6.0,0.0,6.0,2.0,,,,,,,,,1.0,9.0,2.0,4.0,9.0,2.0,3.0,2.0,,,4.0,0.0,-2.0,2.0,4.0,-8.0,8.94427190999916,0.0,-1.0,1.0,-1.0,-1.0,1.4142135623730951,6.0,-8.0,10.0,0.0,-3.0,3.0,0.0,-1.0,1.0,,,,,,
4.0,8.0,BES2015_W10_v24.0.sav,5.0,4.0,4.0,4.0,7.0,7.0,8.0,6.0,0.0,7.0,3.0,,,,,,,,,8.0,7.0,3.0,5.0,7.0,3.0,3.5,4.0,,,6.0,-2.0,4.5,4.924428900898052,0.0,1.0,1.0,-3.0,4.0,5.0,-4.0,5.0,6.4031242374328485,4.0,1.0,4.123105625617661,-3.0,3.0,4.242640687119285,-3.0,5.0,5.830951894845301,,,,,,
5.0,6.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,4.0,6.0,6.0,7.0,5.0,0.0,6.0,2.0,,,,,,,,,6.0,6.5,4.0,5.0,6.0,4.0,5.0,4.0,,,5.0,0.0,1.0,1.0,1.0,-0.5,1.118033988749895,-1.0,2.0,2.23606797749979,-2.0,2.0,2.8284271247461903,5.0,0.0,5.0,-1.0,1.0,1.4142135623730951,-1.0,2.0,2.23606797749979,,,,,,
3.0,7.0,BES2015_W10_v24.0.sav,4.0,4.0,3.0,3.0,7.0,7.0,9.0,6.0,0.0,7.0,3.0,,,,,,,,,7.0,7.0,3.0,4.0,7.0,3.0,3.0,4.0,,,7.0,-3.0,4.0,5.0,0.0,0.0,0.0,-4.0,3.0,5.0,-6.0,4.0,7.211102550927978,3.0,0.0,3.0,-4.0,3.0,5.0,-4.0,4.0,5.656854249492381,,,,,,
0.0,9999.0,BES2015_W10_v24.0.sav,2.0,1.0,0.0,3.0,8.0,8.0,9.0,6.5,0.0,6.0,4.0,,,,,,,,,,5.0,4.5,4.0,5.0,5.0,6.0,5.0,,,10.0,-6.5,9993.0,9993.002113979563,-3.0,9994.0,9994.000450270152,-6.0,9994.0,9994.001801080487,-9.0,9994.0,9994.004052430637,0.0,9994.0,9994.0,-8.0,9995.0,9995.003201600288,-8.0,9994.5,9994.503201760455,,,,,,
7.0,9999.0,BES2015_W10_v24.0.sav,6.0,6.0,7.0,3.0,6.0,6.0,8.0,8.0,0.0,7.0,2.0,,,,,,,,,,7.5,3.0,4.0,8.0,,9.0,2.5,,,3.0,-1.0,9990.0,9990.00005005005,4.0,9991.5,9991.500800680546,0.0,9996.5,9996.5,-1.0,,,7.0,9991.0,9991.002452206685,1.0,9995.0,9995.000050025012,1.0,9996.0,9996.000050020008,,,,,,
4.0,10.0,BES2015_W10_v24.0.sav,5.0,4.0,4.0,4.0,7.0,7.0,9.5,7.0,0.0,8.0,3.0,,,,,,,,,10.0,8.0,2.0,4.5,7.5,1.0,0.0,3.0,,,6.0,-3.0,10.0,10.44030650891055,0.0,2.0,2.0,-4.0,7.0,8.06225774829855,-5.5,9.0,10.547511554864494,4.0,2.5,4.716990566028302,-3.0,5.5,6.264982043070834,-3.0,8.0,8.54400374531753,,,,,,
7.0,5.0,BES2015_W10_v24.0.sav,6.0,6.0,7.0,3.0,6.0,6.5,7.0,6.0,0.0,6.0,2.0,,,,,,,,,5.0,7.0,4.0,5.0,6.0,4.0,5.0,4.0,,,3.0,1.0,0.0,1.0,4.0,-2.0,4.47213595499958,1.0,1.0,1.4142135623730951,0.0,1.0,1.0,7.0,-1.0,7.0710678118654755,0.5,0.0,0.5,1.0,1.0,1.4142135623730951,,,,,,
7.0,2.0,BES2015_W10_v24.0.sav,6.0,6.0,7.0,2.0,6.0,6.0,7.0,6.0,0.0,7.0,2.0,,,,,,,,,2.0,8.0,3.0,4.0,10.0,2.0,3.0,2.0,,,3.0,1.0,-1.0,1.4142135623730951,5.0,-6.0,7.810249675906654,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-8.0,10.63014581273465,1.0,-2.0,2.23606797749979,1.0,-1.0,1.4142135623730951,,,,,,
4.0,4.0,BES2015_W10_v24.0.sav,5.0,4.0,4.0,4.0,6.0,6.0,8.0,5.0,0.0,6.0,3.0,,,,,,,,,4.0,6.0,3.0,4.0,6.5,3.0,4.0,4.0,,,6.0,-1.0,0.0,1.0,0.0,-2.0,2.0,-2.0,0.0,2.0,-4.0,1.0,4.123105625617661,4.0,-2.5,4.716990566028302,-2.0,0.0,2.0,-2.0,1.0,2.23606797749979,,,,,,
10.0,0.0,BES2015_W10_v24.0.sav,7.0,7.0,10.0,0.0,6.0,6.0,8.0,6.0,0.0,8.0,1.0,,,,,,,,,0.0,10.0,2.0,5.0,10.0,1.0,1.0,0.5,,,0.0,4.0,-1.0,4.123105625617661,10.0,-10.0,14.142135623730951,2.0,-0.5,2.0615528128088303,2.0,-1.0,2.23606797749979,10.0,-10.0,14.142135623730951,4.0,-5.0,6.4031242374328485,4.0,-2.0,4.47213595499958,,,,,,
5.0,0.0,BES2015_W10_v24.0.sav,6.0,6.0,5.0,2.0,5.0,5.0,7.0,5.0,0.0,5.0,2.0,,,,,,,,,0.0,9.0,1.0,3.0,10.0,2.0,2.0,1.0,,,5.0,0.0,-2.0,2.0,3.0,-9.0,9.486832980505138,0.0,-1.0,1.0,-2.0,-2.0,2.8284271247461903,5.0,-10.0,11.180339887498949,0.0,-3.0,3.0,0.0,-1.0,1.0,,,,,,
